n_arms,n_steps,optimistic_init,variant,environment_seed,final_avg_reward,total_regret
10,100,False,decay=0.95,20007,0.97,2.0335294882035764
10,100,False,decay=0.95,20008,0.86,10.11563978795485
10,100,False,decay=0.95,20009,0.89,1.9554053156860167
10,100,False,decay=0.95,20010,0.86,8.50466201350854
10,100,False,decay=0.95,20011,0.51,37.80536863684788
10,100,False,decay=0.95,20012,0.27,65.04014650714662
10,100,False,decay=0.95,20013,0.31,49.087804588185875
10,100,False,decay=0.95,20014,0.92,6.352289498885423
10,100,False,decay=0.95,20015,0.72,21.252049145342287
10,100,False,decay=0.95,20016,0.79,18.438074172386965
10,100,False,decay=0.95,20017,0.72,23.405057287961625
10,100,False,decay=0.95,20018,0.73,15.883958192507338
10,100,False,decay=0.95,20019,0.81,4.6086865915124715
10,100,False,decay=0.95,20020,0.91,1.4711005590640425
10,100,False,decay=0.95,20021,0.84,8.730601930719626
10,100,False,decay=0.95,20022,0.7,10.309728676917683
10,100,False,decay=0.95,20023,0.89,4.954270251759971
10,100,False,decay=0.95,20024,0.95,0.35503777208092624
10,100,False,decay=0.95,20025,0.74,1.3006444470220946
10,100,False,decay=0.95,20026,0.57,33.94142877028152
10,100,False,decay=0.95,20027,0.33,13.181185142473508
10,100,False,decay=0.95,20028,0.44,58.56772398880688
10,100,False,decay=0.95,20029,0.96,0.7919063133087196
10,100,False,decay=0.99,20000,0.82,7.502651419248914
10,100,False,decay=0.99,20001,0.77,24.501910823742257
10,100,False,decay=0.99,20002,0.79,18.166625381271118
10,100,False,decay=0.99,20003,0.55,27.81917090547317
10,100,False,decay=0.99,20004,0.64,17.249044822539755
10,100,False,decay=0.99,20005,0.93,8.333685379037497
10,100,False,decay=0.99,20006,0.81,5.811241004891009
10,100,False,decay=0.99,20007,0.94,5.737206017531861
10,100,False,decay=0.99,20008,0.89,7.151763013826848
10,100,False,decay=0.99,20009,0.86,3.7863045564840485
10,100,False,decay=0.99,20010,0.89,7.437677031012117
10,100,False,decay=0.99,20011,0.49,38.47056932121163
10,100,False,decay=0.99,20012,0.54,41.49190717366062
10,100,False,decay=0.99,20013,0.31,48.706079675972966
10,100,False,decay=0.99,20014,0.89,9.062541518930024
10,100,False,decay=0.99,20015,0.78,16.232585104078236
10,100,False,decay=0.99,20016,0.85,12.678262827260333
10,100,False,decay=0.99,20017,0.72,24.819604113468774
10,100,False,decay=0.99,20018,0.71,17.28661488965629
10,100,False,decay=0.99,20019,0.76,10.758949694491127
