suite,algorithm,environment_seed,final_avg_reward,total_regret
clustered,"thompson Beta(5,5)",30012,0.661,256.82944514879716
clustered,"thompson Beta(5,5)",30013,0.6875,228.38969710422396
clustered,"thompson Beta(5,5)",30014,0.6165,317.60929491857667
clustered,"thompson Beta(5,5)",30015,0.6955,217.55962153879423
clustered,"thompson Beta(5,5)",30016,0.6855,272.25294427835223
clustered,"thompson Beta(5,5)",30017,0.652,289.47619499407296
clustered,"thompson Beta(5,5)",30018,0.6695,247.18947556540635
clustered,"thompson Beta(5,5)",30019,0.672,248.99276354760335
clustered,"thompson Beta(5,5)",30020,0.684,263.2411417859804
clustered,"thompson Beta(5,5)",30021,0.6545,248.0436641224796
clustered,"thompson Beta(5,5)",30022,0.661,291.6579835048491
clustered,"thompson Beta(5,5)",30023,0.6505,274.4791155165091
clustered,"thompson Beta(5,5)",30024,0.6745,225.0171292306301
clustered,"thompson Beta(5,5)",30025,0.6835,236.6384980231266
clustered,"thompson Beta(5,5)",30026,0.7045,244.54578688504938
clustered,"thompson Beta(5,5)",30027,0.6305,305.30262963888566
clustered,"thompson Beta(5,5)",30028,0.656,299.010024278292
clustered,"thompson Beta(5,5)",30029,0.7105,231.28711591139557
clustered,ucb(c=0.003),30000,0.7365,121.79982687110345
clustered,ucb(c=0.003),30001,0.718,115.35006343902698
clustered,ucb(c=0.003),30002,0.742,128.84757343688062
clustered,ucb(c=0.003),30003,0.7225,102.93570393961946
clustered,ucb(c=0.003),30004,0.7285,146.84488674410412
clustered,ucb(c=0.003),30005,0.7605,93.72321367861551
clustered,ucb(c=0.003),30006,0.737,107.91825967227689
clustered,ucb(c=0.003),30007,0.742,98.12751101042375
clustered,ucb(c=0.003),30008,0.733,122.54767655109994
clustered,ucb(c=0.003),30009,0.741,78.31900089011022
clustered,ucb(c=0.003),30010,0.717,130.80905477853116
clustered,ucb(c=0.003),30011,0.7585,135.11771602901308
clustered,ucb(c=0.003),30012,0.7265,114.75690546358332
clustered,ucb(c=0.003),30013,0.7435,115.38276104422056
clustered,ucb(c=0.003),30014,0.742,70.04252605561831
clustered,ucb(c=0.003),30015,0.7475,106.6096941517929
clustered,ucb(c=0.003),30016,0.7405,147.66226427422905
clustered,ucb(c=0.003),30017,0.744,104.52372706546589
clustered,ucb(c=0.003),30018,0.734,142.2468482214821
clustered,ucb(c=0.003),30019,0.7315,134.0651317480723
clustered,ucb(c=0.003),30020,0.7445,143.28809819875394
clustered,ucb(c=0.003),30021,0.732,93.73096691222428
clustered,ucb(c=0.003),30022,0.7335,161.12487343879442
clustered,ucb(c=0.003),30023,0.697,191.84525398051574
clustered,ucb(c=0.003),30024,0.756,70.21790213376012
clustered,ucb(c=0.003),30025,0.7665,60.87362394366933
clustered,ucb(c=0.003),30026,0.7885,62.20783369232544
clustered,ucb(c=0.003),30027,0.7515,59.4028129186449
clustered,ucb(c=0.003),30028,0.7505,116.64834594860996
clustered,ucb(c=0.003),30029,0.7825,86.70649963136125
rare-good,epsgreedy const,30000,0.6015,408.1042711795114
rare-good,epsgreedy const,30001,0.35,895.1745001605201
rare-good,epsgreedy const,30002,0.269,1091.5668076389134
rare-good,epsgreedy const,30003,0.4985,636.8061495850354
rare-good,epsgreedy const,30004,0.7295,141.4410125288165
rare-good,epsgreedy const,30005,0.42,808.4765315209416
rare-good,epsgreedy const,30006,0.709,177.533116735681
rare-good,epsgreedy const,30007,0.66,289.8664487082932
rare-good,epsgreedy const,30008,0.7155,154.3515670279093
rare-good,epsgreedy const,30009,0.7395,120.40289991780011
rare-good,epsgreedy const,30010,0.478,628.6399593982045
rare-good,epsgreedy const,30011,0.466,672.7318604890792
rare-good,epsgreedy const,30012,0.636,327.8453569998472
rare-good,epsgreedy const,30013,0.452,700.9107405687505
rare-good,epsgreedy const,30014,0.2545,1057.058453789117
rare-good,epsgreedy const,30015,0.4145,754.8189253596067
rare-good,epsgreedy const,30016,0.7435,126.22311716302059
rare-good,epsgreedy const,30017,0.567,488.2548498815682
rare-good,epsgreedy const,30018,0.2435,1106.1724278881095
rare-good,epsgreedy const,30019,0.643,303.52982812531735
rare-good,epsgreedy const,30020,0.6025,411.3086103412212
rare-good,epsgreedy const,30021,0.663,262.0791946814335
rare-good,epsgreedy const,30022,0.3585,898.4953301871127
rare-good,epsgreedy const,30023,0.6235,331.2902333276598
rare-good,epsgreedy const,30024,0.736,131.1017115075002
rare-good,epsgreedy const,30025,0.749,134.71080572335836
rare-good,epsgreedy const,30026,0.2705,1087.3249652080456
rare-good,epsgreedy const,30027,0.624,336.13214098380985
rare-good,epsgreedy const,30028,0.4105,757.2994435528755
rare-good,epsgreedy const,30029,0.5845,419.69413043839523
rare-good,epsgreedy optimistic decay=0.90,30000,0.2885,1026.4759239879866
rare-good,epsgreedy optimistic decay=0.90,30001,0.2745,1045.8287974359152
rare-good,epsgreedy optimistic decay=0.90,30002,0.7745,72.55596723995566
rare-good,epsgreedy optimistic decay=0.90,30003,0.7635,77.13248983680595
rare-good,epsgreedy optimistic decay=0.90,30004,0.747,119.58358599292882
rare-good,epsgreedy optimistic decay=0.90,30005,0.7635,89.44556250318028
rare-good,epsgreedy optimistic decay=0.90,30006,0.257,1104.5020040794504
rare-good,epsgreedy optimistic decay=0.90,30007,0.7605,87.74956340585422
rare-good,epsgreedy optimistic decay=0.90,30008,0.7265,133.30167874045236
rare-good,epsgreedy optimistic decay=0.90,30009,0.76,81.97455707372798
rare-good,epsgreedy optimistic decay=0.90,30010,0.746,95.47279807279118
rare-good,epsgreedy optimistic decay=0.90,30011,0.732,139.59391067796446
rare-good,epsgreedy optimistic decay=0.90,30012,0.765,70.17003536262231
rare-good,epsgreedy optimistic decay=0.90,30013,0.771,71.69615743730192
rare-good,epsgreedy optimistic decay=0.90,30014,0.243,1086.170853404093
rare-good,epsgreedy optimistic decay=0.90,30015,0.7685,78.98692215695915
rare-good,epsgreedy optimistic decay=0.90,30016,0.7665,84.57202699643662
rare-good,epsgreedy optimistic decay=0.90,30017,0.2775,1032.3226553481693
rare-good,epsgreedy optimistic decay=0.90,30018,0.7625,71.62239009092806
rare-good,epsgreedy optimistic decay=0.90,30019,0.762,74.02424603463906
rare-good,epsgreedy optimistic decay=0.90,30020,0.771,84.11598255563202
rare-good,epsgreedy optimistic decay=0.90,30021,0.276,1032.4920448396997
rare-good,epsgreedy optimistic decay=0.90,30022,0.7635,68.86180099359312
rare-good,epsgreedy optimistic decay=0.90,30023,0.748,87.30064182097165
rare-good,epsgreedy optimistic decay=0.90,30024,0.7685,74.42049089669213
rare-good,epsgreedy optimistic decay=0.90,30025,0.776,70.87435625531158
rare-good,epsgreedy optimistic decay=0.90,30026,0.246,1133.1655994591551
rare-good,epsgreedy optimistic decay=0.90,30027,0.748,72.86234709046573
rare-good,epsgreedy optimistic decay=0.90,30028,0.749,82.63452704999743
rare-good,epsgreedy optimistic decay=0.90,30029,0.7595,73.78953141472535
rare-good,"thompson Beta(5,5)",30000,0.648,306.4922617934173
