n_arms,n_steps,algorithm,environment_seed,final_avg_reward,total_regret
10,10000,ucb(c=0.003),20004,0.7137,798.4389810765074
10,10000,ucb(c=0.003),20005,0.9953,9.04645889739569
10,10000,ucb(c=0.003),20006,0.7662,1298.9722725953104
10,10000,ucb(c=0.003),20007,0.9854,11.102982464794557
10,10000,ucb(c=0.003),20008,0.9237,42.83789826586167
10,10000,ucb(c=0.003),20009,0.9269,9.69922353342077
10,10000,ucb(c=0.003),20010,0.9195,648.1513564389173
10,10000,ucb(c=0.003),20011,0.8842,7.456487544334587
10,10000,ucb(c=0.003),20012,0.9857,7.23729446598508
10,10000,ucb(c=0.003),20013,0.8027,4.279532811756538
10,10000,ucb(c=0.003),20014,0.9863,11.116270186708352
10,10000,ucb(c=0.003),20015,0.8281,769.2090268857725
10,10000,ucb(c=0.003),20016,0.9699,7.463312176860086
10,10000,ucb(c=0.003),20017,0.7172,2511.455630946492
10,10000,ucb(c=0.003),20018,0.8708,10.87486689550463
10,10000,ucb(c=0.003),20019,0.8429,7.293924677581455
10,10000,ucb(c=0.003),20020,0.9125,350.43937923929957
10,10000,ucb(c=0.003),20021,0.9267,9.809850112784751
10,10000,ucb(c=0.003),20022,0.7364,259.38742315472655
10,10000,ucb(c=0.003),20023,0.9707,7.44097714681944
10,10000,ucb(c=0.003),20024,0.9405,6.168698499572569
10,10000,ucb(c=0.003),20025,0.6412,120.30020985845749
10,10000,ucb(c=0.003),20026,0.9275,4.447384442734833
10,10000,ucb(c=0.003),20027,0.5187,4.135748825872705
10,10000,ucb(c=0.003),20028,0.9829,17.956856482113
10,10000,ucb(c=0.003),20029,0.978,8.02091636476824
100,100,epsgreedy const,20000,0.74,21.277710867831125
100,100,epsgreedy const,20001,0.63,42.283192771040504
100,100,epsgreedy const,20002,0.67,30.79300469919157
100,100,epsgreedy const,20003,0.88,9.311365533041526
100,100,epsgreedy const,20004,0.8,17.351432029423442
100,100,epsgreedy const,20005,0.7,29.78496104562921
100,100,epsgreedy const,20006,0.9,6.349261896217887
100,100,epsgreedy const,20007,0.5,39.785952619346325
100,100,epsgreedy const,20008,0.75,25.237190554187215
100,100,epsgreedy const,20009,0.9,8.920650442076736
100,100,epsgreedy const,20010,0.7,25.769970183120122
100,100,epsgreedy const,20011,0.69,27.99624680113284
100,100,epsgreedy const,20012,0.74,20.50401031320397
100,100,epsgreedy const,20013,0.55,37.03266757473706
100,100,epsgreedy const,20014,0.83,15.389736296171732
